standard_SMILES;average_pIC50
O=C(Nc1cncc2ccc(F)cc12)[C@H]1CCNc2cc(Cl)c(Cl)cc21;6.822563499208982
COc1ccc2cncc(NC(=O)[C@H]3CCNc4cc(Cl)c(Cl)cc43)c2c1;7.218678356080511
O=C(Nc1cncc2ccc(F)cc12)[C@H]1CCOc2cc(F)c(Cl)cc21;6.631177570140712
CN(C)C(=O)COCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21;6.1860546861153685
CS(=O)(=O)N1Cc2cc(F)c(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.589082414039539
CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cccc(F)c23)C1;6.0220173620152035
O=C(Nc1cncc2ccccc12)C12CCC(O1)c1ccc(Cl)cc12;4.954780206365061
COC1(c2cccc(Cl)c2)CCN(c2cncc3ccccc23)C1=O;6.330279418235804
COC1(c2cccc(Cl)c2)CCCN(c2cncc3ccccc23)C1=O;5.682380157031074
O=C(Nc1cncc2ccncc12)C1CCOc2cc(F)c(Cl)cc21;5.958719504249219
COC1(C(=O)Nc2cncc3ccc(F)cc23)CCOc2ccc(Cl)cc21;6.6089925487031405
COC1(C(=O)Nc2cncc3ccncc23)CCOc2ccc(Cl)cc21;6.079980776208847
CNS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.827828269911302
CN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.856503708185124
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CC2)Cc2ccc(Cl)cc21;6.508211426369712
COCCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.67235412765359
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CCO)Cc2ccc(Cl)cc21;6.634353951285966
CCS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.674957224518523
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2COC2)Cc2ccc(Cl)cc21;6.609180998393422
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CCOC2)Cc2ccc(Cl)cc21;6.817800072790296
CC1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)C1;7.287718304420489
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCC1;7.22286287703126
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CNC2)Cc2ccc(Cl)cc21;6.869122190713591
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)C2CNC2)Cc2ccc(Cl)cc21;6.562554913382341
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCCC2CO)Cc2ccc(Cl)cc21;5.943089699096771
O=C(Nc1cncc2ccccc12)C1CN(C(=O)C2CC2)Cc2ccc(Cl)cc21;6.312266665421557
CN(C)C(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.560247716757757
O=C(O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;5.074108882588984
COC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;5.809668507508856
CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;7.159269967831134
CN(C)C(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.04774694271971
NC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.944988972802604
O=C(Nc1cncc2ccccc12)C1CN(CC(F)(F)F)Cc2ccc(Cl)cc21;5.467475506091944
COCCN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;5.6449729403731865
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)c2ncc[nH]2)Cc2ccc(Cl)cc21;6.6632897524711625
Cn1ncc(S(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)n1;6.57174728731631
N#CCC(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1;6.691104917738864
O=C(Nc1cncc2ccccc12)C1CN(C(=O)c2cnco2)Cc2ccc(Cl)cc21;5.971951684925809
